dosef,energy,natom,mass,fmax,smax,hform,volume,gap_nosoc,gap
0,-9.516394021,2,56.17,0.002934021,0.000137514,0.640802989,197.4519136,9.42E-05,0.001599142
0.000164457,-7.231527481,2,237.42,0.009540226,0.000286239,0.44023626,287.2545473,0,0.064658708
2.893573759,-23.38404173,4,154.031816,0.003157632,0.000125933,-1.477010431,293.1577453,0,0
2.615409591,-23.37737792,4,154.031816,0.00352158,9.60E-05,-1.475344479,293.9158792,0,0
6.578400861,-21.34283082,4,247.853816,0.006215374,6.37E-05,-1.264207705,313.6023119,0,0
2.4521286,-21.31550346,4,247.853816,0.001273671,5.62E-05,-1.257375865,313.1967084,0,0
5.648999991,-19.14720482,4,345.111816,0.008854355,0.000187986,-0.854301204,352.9037395,0,0
2.011515865,-22.49515855,4,127.9086223,0.005324917,0.002159524,-2.500289637,169.0740553,0,0
2.95404346,-15.11752137,4,343.720756,0.009043033,0.000156735,-0.710380343,235.8154872,0,0
0,-26.06193682,4,159.854,0.001916039,0.000472155,-1.131484205,250.7856338,0.053045556,0.053631603
0.277278165,-23.83489585,4,253.676,0.002582076,0.00042244,-0.872223962,266.8910641,0,0
2.899885855,-21.569658,4,350.934,0.007355572,0.000433393,-0.444914499,289.4753051,0,0
2.37768599,-25.64566174,4,133.7308063,0.006095975,0.003074922,-2.272915434,136.3552501,0,0
0.267892173,-18.0494339,4,255.542,0.00263536,0.000466099,-0.374858474,255.8722637,0,0
0,-18.07836071,4,255.542,0.009868184,0.000334243,-0.382090178,255.192632,0.242172744,0.242455431
3.561385114,-16.75389581,4,349.54294,0.006583309,0.000332636,-0.104473954,274.7854371,0,0
2.062257908,-16.72784728,4,349.54294,0.005949725,0.00044811,-0.097961819,278.3340374,0,0
1.150523979,-28.27851441,4,166.003,0.002997849,2.58E-05,-0.768628603,222.0966707,0,0
1.395902387,-26.10931325,4,259.825,0.007211252,0.000110876,-0.523828313,234.8280371,0,0
1.584122324,-23.96727839,4,357.083,0.001626442,5.30E-05,-0.127319597,256.7827626,0,0
4.448107057,-23.98207649,4,357.083,0.00080368,4.68E-06,-0.131019123,259.2248449,0,0
0.152441048,-27.78606073,4,139.8798063,0.001495934,0.002934957,-1.891015181,119.0116771,0,0
3.661849651,-19.31238925,4,355.69194,0.001064369,6.14E-05,0.172902687,254.500225,0,0
0.640659089,-19.34715257,4,355.69194,0.003916337,6.69E-05,0.164211859,259.4676629,0,0.078397446
2.073342094,-28.73533704,4,168.1122,0.006720322,0.000337771,-0.440334259,219.67155,0,0
3.121065013,-26.66017999,4,261.9342,0.009791088,0.000273446,-0.219044998,218.0214087,0,0
4.82165389,-26.90577023,4,261.9342,0.00268431,0.000291098,-0.280442556,243.4293569,0,0
6.867807754,-25.24182569,4,359.1922,0.005902599,0.000200499,-0.003456422,263.1947166,0,0
1.445515123,-27.89658022,4,141.9890063,0.007067198,0.003445574,-1.476145056,119.6141836,0,0
0,-23.56598845,4,174.8922,0.006557946,0.000490916,-0.294497114,240.005239,0.646708298,0.646645241
0,-22.46488765,4,263.8002,0.00316056,0.000377594,-0.119221913,256.4997415,0.609481119,0.612520604
